x-axis,1,2
second,Volt,Volt
-499.9975E-06,+30.8750171E-03,-20.1093062E-03
-498.9975E-06,+30.8812671E-03,-20.0819626E-03
-497.9975E-06,+30.8875170E-03,-20.0546189E-03
-496.9975E-06,+30.8937670E-03,-20.0272753E-03
-495.9975E-06,+30.9000170E-03,-19.9999317E-03
-494.9975E-06,+30.9062669E-03,-19.9725881E-03
-493.9975E-06,+30.9125169E-03,-19.9452445E-03
-492.9975E-06,+30.9187669E-03,-19.9179009E-03
-491.9975E-06,+30.9250168E-03,-19.8905573E-03
-490.9975E-06,+30.9312668E-03,-19.8632137E-03
-489.9975E-06,+30.9375015E-03,-19.8358892E-03
-488.9976E-06,+30.9375015E-03,-19.8163580E-03
-487.9976E-06,+30.9375015E-03,-19.7968269E-03
-486.9976E-06,+30.9375015E-03,-19.7772957E-03
-485.9976E-06,+30.9375015E-03,-19.7577646E-03
-484.9976E-06,+30.9375015E-03,-19.7382334E-03
-483.9976E-06,+30.9375015E-03,-19.7187023E-03
-482.9976E-06,+30.9375015E-03,-19.6991711E-03
-481.9976E-06,+30.9375015E-03,-19.6796400E-03
-480.9976E-06,+30.9375015E-03,-19.6601088E-03
-479.9976E-06,+30.9375015E-03,-19.6405870E-03
-478.9976E-06,+30.9375015E-03,-19.6249621E-03
-477.9976E-06,+30.9375015E-03,-19.6093372E-03
-476.9976E-06,+30.9375015E-03,-19.5937123E-03
-475.9976E-06,+30.9375015E-03,-19.5780874E-03
-474.9976E-06,+30.9375015E-03,-19.5624624E-03
-473.9976E-06,+30.9375015E-03,-19.5468375E-03
-472.9976E-06,+30.9375015E-03,-19.5312126E-03
-471.9976E-06,+30.9375015E-03,-19.5155877E-03
-470.9976E-06,+30.9375015E-03,-19.4999627E-03
-469.9977E-06,+30.9375015E-03,-19.4843286E-03
-468.9977E-06,+30.9375015E-03,-19.4647975E-03
-467.9977E-06,+30.9375015E-03,-19.4452663E-03
-466.9977E-06,+30.9375015E-03,-19.4257352E-03
-465.9977E-06,+30.9375015E-03,-19.4062040E-03
-464.9977E-06,+30.9375015E-03,-19.3866729E-03
-463.9977E-06,+30.9375015E-03,-19.3671417E-03
-462.9977E-06,+30.9375015E-03,-19.3476106E-03
-461.9977E-06,+30.9375015E-03,-19.3280794E-03
-460.9977E-06,+30.9375015E-03,-19.3085483E-03
-459.9977E-06,+30.9374871E-03,-19.2890171E-03
-458.9977E-06,+30.9312371E-03,-19.2694860E-03
-457.9977E-06,+30.9249872E-03,-19.2499548E-03
-456.9977E-06,+30.9187372E-03,-19.2304237E-03
